"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-07-10,6,230,,1,,"230 lb || 1 reps","60"
"Barbell Squat",2012-07-12,101,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-07-12,102,85,,5,,"85 lb || 5 reps","41"
"Barbell Squat",2012-07-12,103,135,,3,,"135 lb || 3 reps","46"
"Barbell Squat",2012-07-12,104,175,,20,,"175 lb || 20 reps","99"
"Barbell Squat",2012-07-12,105,205,,1,,"205 lb || 1 reps","50"
"Barbell Squat",2012-07-14,1,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-07-14,2,85,,5,,"85 lb || 5 reps","41"
"Barbell Squat",2012-07-14,3,135,,5,,"135 lb || 5 reps","57"
"Barbell Squat",2012-07-14,4,185,,3,,"185 lb || 3 reps","65"
"Barbell Squat",2012-07-14,5,205,,2,,"205 lb || 2 reps","62"
"Barbell Squat",2012-07-14,6,225,,1,,"225 lb || 1 reps","58"
"Barbell Squat",2012-07-14,7,235,,1,,"235 lb || 1 reps","62"
"Barbell Squat",2012-07-20,301,45,,5,,"45 lb || 5 reps","31"
"Barbell Squat",2012-07-20,302,85,,5,,"85 lb || 5 reps","41"
"Barbell Squat",2012-07-20,303,135,,5,,"135 lb || 5 reps","57"
"Barbell Squat",2012-07-20,304,185,,3,,"185 lb || 3 reps","65"
"Barbell Squat",2012-07-20,305,215,,2,,"215 lb || 2 reps","67"
"Barbell Squat",2012-07-20,306,235,,1,,"235 lb || 1 reps","62"
"Barbell Squat",2012-07-20,307,240,,1,,"240 lb || 1 reps","64"
"Barbell Squat",2012-07-27,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-07-27,2,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2012-07-27,3,135,,3,,"135 lb || 3 reps","53"
"Barbell Squat",2012-07-27,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-07-27,5,205,,2,,"205 lb || 2 reps","71"
"Barbell Squat",2012-07-27,6,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-07-27,7,215,,3,,"215 lb || 3 reps","90"
"Barbell Squat",2012-07-27,8,215,,2,,"215 lb || 2 reps","76"
"Barbell Squat",2012-08-01,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-01,2,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2012-08-01,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-01,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-01,5,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2012-08-01,6,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-08-01,7,235,,2,,"235 lb || 2 reps","87"
"Barbell Squat",2012-08-01,8,245,,1,,"245 lb || 1 reps","76"
"Barbell Squat",2012-08-01,9,255,,1,,"255 lb || 1 reps","81"
"Barbell Squat",2012-08-02,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-02,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-08-02,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-02,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-02,5,205,,2,,"205 lb || 2 reps","71"
"Barbell Squat",2012-08-02,6,235,,3,,"235 lb || 3 reps","104"
"Barbell Squat",2012-08-04,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-04,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-08-04,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-04,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-04,5,215,,2,,"215 lb || 2 reps","76"
"Barbell Squat",2012-08-04,6,235,,3,,"235 lb || 3 reps","104"
"Barbell Squat",2012-08-04,7,235,,1,,"235 lb || 1 reps","71"
"Barbell Squat",2012-08-10,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-10,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-08-10,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-10,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-10,5,205,,2,,"205 lb || 2 reps","71"
"Barbell Squat",2012-08-10,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-10,7,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2012-08-11,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-11,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-08-11,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-11,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-11,5,215,,2,,"215 lb || 2 reps","76"
"Barbell Squat",2012-08-11,6,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2012-08-11,7,265,,1,,"265 lb || 1 reps","86"
"Barbell Squat",2012-08-11,8,235,,3,,"235 lb || 3 reps","104"
"Barbell Squat",2012-08-14,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-14,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-08-14,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-14,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-14,5,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2012-08-14,6,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2012-08-14,7,265,,1,,"265 lb || 1 reps","86"
"Barbell Squat",2012-08-14,8,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2012-08-14,9,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2012-08-16,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-16,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-08-16,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-16,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-16,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-16,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-16,7,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-18,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-18,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-08-18,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-18,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-18,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-08-18,6,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2012-08-18,7,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2012-08-18,8,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2012-08-20,1,135,,8,,"135 lb || 8 reps","75"
"Barbell Squat",2012-08-20,2,135,,8,,"135 lb || 8 reps","75"
"Barbell Squat",2012-08-20,3,135,,8,,"135 lb || 8 reps","75"
"Barbell Squat",2012-08-20,4,135,,8,,"135 lb || 8 reps","75"
"Barbell Squat",2012-08-20,5,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-20,6,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-08-20,7,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2012-08-24,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-24,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-24,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-08-24,4,235,,2,,"235 lb || 2 reps","87"
