"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-12-07,5,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2012-12-11,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-11,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-11,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-11,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-11,5,275,,2,,"275 lb || 2 reps","114"
"Barbell Squat",2012-12-12,201,45,,12,,"45 lb || 12 reps","43"
"Barbell Squat",2012-12-13,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-13,102,65,,3,,"65 lb || 3 reps","33"
"Barbell Squat",2012-12-13,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-13,104,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-13,105,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-13,106,275,,3,,"275 lb || 3 reps","136"
"Barbell Squat",2012-12-13,107,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-12-14,101,45,,12,,"45 lb || 12 reps","43"
"Barbell Squat",2012-12-14,102,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-12-14,103,95,,12,,"95 lb || 12 reps","61"
"Barbell Squat",2012-12-15,1,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2012-12-15,2,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2012-12-15,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-15,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-15,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-15,6,275,,2,,"275 lb || 2 reps","114"
"Barbell Squat",2012-12-15,7,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2012-12-15,8,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-12-16,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-16,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-16,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-16,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-16,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-16,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-16,7,275,,3,,"275 lb || 3 reps","136"
"Barbell Squat",2012-12-16,8,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-12-16,301,45,,12,,"45 lb || 12 reps","43"
"Barbell Squat",2012-12-16,302,95,,12,,"95 lb || 12 reps","61"
"Barbell Squat",2012-12-16,303,135,,12,,"135 lb || 12 reps","79"
"Barbell Squat",2012-12-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-21,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-21,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-21,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-21,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-21,7,275,,2,,"275 lb || 2 reps","114"
"Barbell Squat",2012-12-21,8,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2012-12-21,9,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-12-23,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-23,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-23,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-23,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-23,5,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-12-23,6,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-12-23,7,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2012-12-23,8,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-12-24,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-24,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-24,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-24,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-26,301,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-26,302,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-26,303,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-26,304,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-26,305,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-12-26,306,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-26,307,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-26,308,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-26,309,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-26,310,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-27,101,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2012-12-27,102,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2012-12-27,103,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-27,104,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-27,105,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-28,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-28,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-28,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-28,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-28,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-28,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-30,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-30,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-30,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-30,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-12-30,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-12-30,6,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2013-01-06,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-06,2,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2013-01-06,3,140,,5,,"140 lb || 5 reps","68"
"Barbell Squat",2013-01-06,4,170,,3,,"170 lb || 3 reps","67"
"Barbell Squat",2013-01-06,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-01-06,6,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2013-01-06,7,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2013-01-08,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-08,202,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-10,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-10,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-01-10,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-01-10,4,200,,3,,"200 lb || 3 reps","82"
"Barbell Squat",2013-01-10,5,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-01-10,6,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2013-01-12,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-12,102,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-01-12,103,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-01-12,104,215,,3,,"215 lb || 3 reps","90"
"Barbell Squat",2013-01-12,105,240,,3,,"240 lb || 3 reps","107"
"Barbell Squat",2013-01-12,106,270,,1,,"270 lb || 1 reps","89"
"Barbell Squat",2013-01-13,301,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-15,301,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-16,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-16,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-01-16,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-01-16,204,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-01-17,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-17,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-01-17,203,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-01-17,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-01-17,205,250,,6,,"250 lb || 6 reps","152"
"Barbell Squat",2013-01-18,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-18,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-18,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-01-18,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-01-18,5,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-01-18,6,235,,3,,"235 lb || 3 reps","104"
"Barbell Squat",2013-01-18,7,265,,3,,"265 lb || 3 reps","127"
"Barbell Squat",2013-01-25,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-25,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-01-25,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-01-25,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-01-25,5,250,,3,,"250 lb || 3 reps","115"
"Barbell Squat",2013-01-25,6,280,,1,,"280 lb || 1 reps","96"
"Barbell Squat",2013-01-26,501,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-30,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-01-30,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-01-30,3,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2013-01-30,4,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2013-01-30,5,260,,6,,"260 lb || 6 reps","162"
"Barbell Squat",2013-02-02,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-02,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-02,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-02,4,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2013-02-02,5,260,,3,,"260 lb || 3 reps","123"
"Barbell Squat",2013-02-02,6,290,,1,,"290 lb || 1 reps","102"
"Barbell Squat",2013-02-07,501,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-07,502,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-07,503,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-07,504,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-02-07,505,255,,7,,"255 lb || 7 reps","163"
"Barbell Squat",2013-02-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-09,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-09,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-09,4,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-02-09,5,250,,3,,"250 lb || 3 reps","115"
"Barbell Squat",2013-02-09,6,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2013-02-19,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-19,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-19,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-19,4,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2013-02-19,5,265,,3,,"265 lb || 3 reps","127"
"Barbell Squat",2013-02-19,6,285,,1,,"285 lb || 1 reps","99"
"Barbell Squat",2013-02-19,7,300,,1,,"300 lb || 1 reps","110"
"Barbell Squat",2013-02-24,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-24,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-24,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-24,4,210,,5,,"210 lb || 5 reps","109"
"Barbell Squat",2013-02-24,5,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2013-02-24,6,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-02-25,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-25,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-25,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-06,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-06,2,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-03-06,3,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-03-06,4,260,,3,,"260 lb || 3 reps","123"
"Barbell Squat",2013-03-06,5,290,,5,,"290 lb || 5 reps","187"
"Barbell Squat",2013-03-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-09,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-09,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-03-09,4,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2013-03-09,5,275,,3,,"275 lb || 3 reps","136"
"Barbell Squat",2013-03-09,6,305,,2,,"305 lb || 2 reps","140"
"Barbell Squat",2013-03-15,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-15,102,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-15,103,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-03-15,104,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2013-03-15,105,285,,3,,"285 lb || 3 reps","145"
"Barbell Squat",2013-03-20,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-20,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-20,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-03-20,4,235,,3,,"235 lb || 3 reps","104"
"Barbell Squat",2013-03-20,5,265,,3,,"265 lb || 3 reps","127"
"Barbell Squat",2013-03-20,6,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2013-03-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-22,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-22,3,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-03-22,4,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2013-03-22,5,285,,3,,"285 lb || 3 reps","145"
"Barbell Squat",2013-03-22,6,315,,3,,"315 lb || 3 reps","178"
"Barbell Squat",2013-03-26,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-26,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-26,3,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2013-03-26,4,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2013-04-02,301,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-02,302,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-02,303,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-04-02,304,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-04-02,305,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2013-04-02,306,290,,5,,"290 lb || 5 reps","187"
"Barbell Squat",2013-04-04,301,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-12,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-12,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-12,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-04-12,4,240,,3,,"240 lb || 3 reps","107"
"Barbell Squat",2013-04-12,5,275,,3,,"275 lb || 3 reps","136"
"Barbell Squat",2013-04-12,6,310,,3,,"310 lb || 3 reps","172"
"Barbell Squat",2013-04-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-13,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-13,3,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-04-13,4,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2013-04-13,5,290,,3,,"290 lb || 3 reps","150"
"Barbell Squat",2013-04-13,6,325,,2,,"325 lb || 2 reps","160"
"Barbell Squat",2013-04-13,1201,45,,1,,"45 lb || 1 reps","19"
"Barbell Squat",2013-04-13,1202,65,,1,,"65 lb || 1 reps","22"
"Barbell Squat",2013-04-13,1203,65,,1,,"65 lb || 1 reps","22"
"Barbell Squat",2013-04-13,1204,65,,1,,"65 lb || 1 reps","22"
"Barbell Squat",2013-04-15,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-15,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-04-15,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-04-19,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-19,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-19,3,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-04-19,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-04-19,5,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2013-04-19,6,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2013-04-20,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-20,102,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-25,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-25,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-25,3,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-04-25,4,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2013-04-25,5,285,,3,,"285 lb || 3 reps","145"
"Barbell Squat",2013-04-25,6,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-04-27,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-27,102,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-27,103,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-04-27,104,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2013-04-27,105,300,,3,,"300 lb || 3 reps","161"
"Barbell Squat",2013-04-27,106,335,,2,,"335 lb || 2 reps","172"
"Barbell Squat",2013-05-02,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-02,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-02,3,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2013-05-02,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-05-02,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-05-04,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-04,102,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-04,103,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-05-04,104,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2013-05-04,105,290,,3,,"290 lb || 3 reps","150"
"Barbell Squat",2013-05-04,106,325,,1,,"325 lb || 1 reps","130"
"Barbell Squat",2013-05-04,107,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-05-07,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-07,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-07,3,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-05-07,4,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2013-05-07,5,290,,3,,"290 lb || 3 reps","150"
"Barbell Squat",2013-05-07,6,325,,3,,"325 lb || 3 reps","190"
"Barbell Squat",2013-05-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-09,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-09,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-09,4,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-05-09,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-05-09,6,315,,3,,"315 lb || 3 reps","178"
"Barbell Squat",2013-05-09,7,350,,2,,"350 lb || 2 reps","190"
"Barbell Squat",2013-05-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-13,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-13,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-05-13,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-05-13,5,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2013-05-13,6,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-05-18,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-18,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-18,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-05-18,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-05-18,5,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2013-05-18,6,275,,3,,"275 lb || 3 reps","136"
"Barbell Squat",2013-05-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-22,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-22,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-05-22,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-05-22,5,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2013-05-22,6,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2013-05-23,901,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-23,902,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2013-05-25,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-25,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-25,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-05-25,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-05-25,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-05-25,6,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2013-05-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-29,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-29,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-05-29,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-05-29,5,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2013-05-29,6,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-06-01,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-01,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-01,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-06-01,4,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2013-06-01,5,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2013-06-01,6,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2013-06-03,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-03,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-03,3,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2013-06-03,4,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2013-06-03,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-06-03,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-06-07,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-07,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-07,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-06-07,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-06-07,5,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2013-06-07,6,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2013-06-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-09,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-09,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-06-09,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-06-09,5,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2013-06-09,6,285,,3,,"285 lb || 3 reps","145"
"Barbell Squat",2013-06-09,7,315,,3,,"315 lb || 3 reps","178"
"Barbell Squat",2013-06-15,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-15,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-15,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-06-15,204,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2013-06-15,205,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-06-15,206,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2013-06-16,601,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2013-06-16,602,65,,3,,"65 lb || 3 reps","33"
"Barbell Squat",2013-06-16,603,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2013-06-19,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-19,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-19,3,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-06-19,4,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2013-06-19,5,285,,3,,"285 lb || 3 reps","145"
"Barbell Squat",2013-06-19,6,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-06-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-22,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-22,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-22,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-22,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-06-22,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-06-22,7,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2013-06-22,8,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2013-06-29,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2013-06-29,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-29,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-06-29,4,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2013-06-29,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-06-29,6,315,,5,,"315 lb || 5 reps","222"
